"","POPULATION","CU_NAME","FULL_CU_IN","POP_ID","SPECIES_QUALIFIED","SPECIES","AREA","FAZ","MAZ","QUALITY","weight","nYears","CU_findex","PSE_region"
"CM50253","Goat River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50253,"CM","Chum","6","NC","HStr",4.8,0.119202922022118,35,NA,"Central Coast"
"CM50258","Paril River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50258,"CM","Chum","6","NC","HStr",4.54545454545455,0.119202922022118,30,NA,"Central Coast"
"CM50263","Kiltuish River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50263,"CM","Chum","6","NC","HStr",3.22727272727273,0.119202922022118,71,NA,"Central Coast"
"CM50268","Kowesas River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50268,"CM","Chum","6","NC","HStr",6,0.119202922022118,35,NA,"Central Coast"
"CM50273","Kitlope River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50273,"CM","Chum","6","NC","HStr",6.33333333333333,0.119202922022118,39,NA,"Central Coast"
"CM50278","Tsaytis River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50278,"CM","Chum","6","NC","HStr",6.25,0.119202922022118,32,NA,"Central Coast"
"CM50283","Kemano River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50283,"CM","Chum","6","NC","HStr",3.66666666666667,0.119202922022118,69,NA,"Central Coast"
"CM50288","Wahoo River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50288,"CM","Chum","6","NC","HStr",3.9047619047619,0.119202922022118,56,NA,"Central Coast"
"CM50293","Brim River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50293,"CM","Chum","6","NC","HStr",3.61904761904762,0.119202922022118,61,NA,"Central Coast"
"CM50298","Hotspring Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50298,"CM","Chum","6","NC","HStr",3.36363636363636,0.119202922022118,54,NA,"Central Coast"
"CM50303","Crab River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50303,"CM","Chum","6","NC","HStr",4,0.119202922022118,64,NA,"Central Coast"
"CM50308","Pike Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50308,"CM","Chum","6","NC","HStr",4.33333333333333,0.119202922022118,40,NA,"Central Coast"
"CM50313","Weewanie Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50313,"CM","Chum","6","NC","HStr",3.59090909090909,0.119202922022118,68,NA,"Central Coast"
"CM50318","Hugh Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50318,"CM","Chum","6","NC","HStr",3.59090909090909,0.119202922022118,66,NA,"Central Coast"
"CM50323","Eagle Bay Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50323,"CM","Chum","6","NC","HStr",3.76470588235294,0.119202922022118,46,NA,"Central Coast"
"CM50328","Falls River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50328,"CM","Chum","6","NC","HStr",7,0.119202922022118,4,NA,"Central Coast"
"CM50333","Kildala River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50333,"CM","Chum","6","NC","HStr",3.5,0.119202922022118,52,NA,"Central Coast"
"CM50338","Dala River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50338,"CM","Chum","6","NC","HStr",3.61904761904762,0.119202922022118,70,NA,"Central Coast"
"CM50343","Wathl Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50343,"CM","Chum","6","NC","HStr",3.61111111111111,0.119202922022118,56,NA,"Central Coast"
"CM50358","Pine Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50358,"CM","Chum","6","NC","HStr",7,0.119202922022118,1,NA,"Central Coast"
"CM50363","Kitimat River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50363,"CM","Chum","6","NC","HStr",4.1,0.119202922022118,59,NA,"Central Coast"
"CM50373","Duck Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50373,"CM","Chum","6","NC","HStr",7,0.119202922022118,1,NA,"Central Coast"
"CM50378","Goose Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50378,"CM","Chum","6","NC","HStr",7,0.119202922022118,1,NA,"Central Coast"
"CM50383","Hirsch Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50383,"CM","Chum","6","NC","HStr",3.15384615384615,0.119202922022118,43,NA,"Central Coast"
"CM50398","Little Wedeene River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50398,"CM","Chum","6","NC","HStr",3.30769230769231,0.119202922022118,44,NA,"Central Coast"
"CM50413","Wedeene River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50413,"CM","Chum","6","NC","HStr",7,0.119202922022118,28,NA,"Central Coast"
"CM50428","Raley Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50428,"CM","Chum","6","NC","HStr",7,0.119202922022118,1,NA,"Central Coast"
"CM50433","Lone Wolf Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50433,"CM","Chum","6","NC","HStr",7,0.119202922022118,1,NA,"Central Coast"
"CM50438","Aveling Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50438,"CM","Chum","6","NC","HStr",7,0.119202922022118,1,NA,"Central Coast"
"CM50448","Nalbeelah Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50448,"CM","Chum","6","NC","HStr",7,0.119202922022118,25,NA,"Central Coast"
"CM50453","Humphrys Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",50453,"CM","Chum","6","NC","HStr",3.30769230769231,0.119202922022118,44,NA,"Central Coast"
"CM50458","Wannock River (Rivers Inlet) Chum","WANNOCK","CM-14",50458,"CM","Chum","9","RSI","HStr",7,0.119202922022118,44,NA,"Central Coast"
"CM50466","Klite River (Powell River Area) Chum Run 1","GEORGIA STRAIT","CM-4",50466,"CM","Chum","15","SC","GStr",4.28571428571429,0.119202922022118,42,NA,"Vancouver Island & Mainland Inlets"
"CM50476","Little Toba River (Powell River Area) Chum Run 1","GEORGIA STRAIT","CM-4",50476,"CM","Chum","15","SC","GStr",7,0.119202922022118,26,NA,"Vancouver Island & Mainland Inlets"
"CM50486","Filer Creek (Powell River Area) Chum Run 1","GEORGIA STRAIT","CM-4",50486,"CM","Chum","15","SC","GStr",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CM50496","Tahumming River (Powell River Area) Chum Run 1","GEORGIA STRAIT","CM-4",50496,"CM","Chum","15","SC","GStr",7,0.119202922022118,18,NA,"Vancouver Island & Mainland Inlets"
"CM50506","Brem River (Powell River Area) Chum Run 1","GEORGIA STRAIT","CM-4",50506,"CM","Chum","15","SC","GStr",5.25,0.119202922022118,48,NA,"Vancouver Island & Mainland Inlets"
"CM50516","Brem River Tributary (Powell River Area) Chum Run 1","GEORGIA STRAIT","CM-4",50516,"CM","Chum","15","SC","GStr",7,0.119202922022118,8,NA,"Vancouver Island & Mainland Inlets"
"CM50526","Quatam River (Campbell River Area) Chum Run 1","GEORGIA STRAIT","CM-4",50526,"CM","Chum","13","SC","GStr",4.1875,0.119202922022118,56,NA,"Vancouver Island & Mainland Inlets"
"CM50536","Orford River (Campbell River Area) Chum Run 1","BUTE INLET","CM-7",50536,"CM","Chum","13","SC","SFj",3.90909090909091,0.119202922022118,68,NA,"Vancouver Island & Mainland Inlets"
"CM50537","Orford River (Campbell River Area) Chum Run 2","BUTE INLET","CM-7",50537,"CM","Chum","13","SC","SFj",5.25,0.5,8,NA,"Vancouver Island & Mainland Inlets"
"CM50546","Southgate River (Campbell River Area) Summer Chum","BUTE INLET","CM-7",50546,"CM","Chum","13","SC","SFj",6,0.119202922022118,48,NA,"Vancouver Island & Mainland Inlets"
"CM50547","Southgate River (Campbell River Area) Fall Chum","BUTE INLET","CM-7",50547,"CM","Chum","13","SC","SFj",5,0.268941421369995,3,NA,"Vancouver Island & Mainland Inlets"
"CM50556","Teaquahan River (Campbell River Area) Chum Run 1","BUTE INLET","CM-7",50556,"CM","Chum","13","SC","SFj",7,0.119202922022118,24,NA,"Vancouver Island & Mainland Inlets"
"CM50566","Homathko River (Campbell River Area) Chum Run 1","BUTE INLET","CM-7",50566,"CM","Chum","13","HK","SFj",6,0.119202922022118,52,NA,"Vancouver Island & Mainland Inlets"
"CM50576","Cumsack Creek (Campbell River Area) Chum Run 1","BUTE INLET","CM-7",50576,"CM","Chum","13","HK","SFj",7,0.119202922022118,17,NA,"Vancouver Island & Mainland Inlets"
"CM50586","Frederick Arm Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50586,"CM","Chum","13","SC","SFj",7,0.119202922022118,12,NA,"Vancouver Island & Mainland Inlets"
"CM50596","Hemming Bay Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50596,"CM","Chum","13","SC","SFj",5,0.119202922022118,29,NA,"Vancouver Island & Mainland Inlets"
"CM50606","Knox Bay Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50606,"CM","Chum","13","SC","SFj",7,0.119202922022118,16,NA,"Vancouver Island & Mainland Inlets"
"CM50616","Phillips River (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50616,"CM","Chum","13","SC","SFj",4.23529411764706,0.119202922022118,64,NA,"Vancouver Island & Mainland Inlets"
"CM50626","Fanny Bay Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50626,"CM","Chum","13","SC","SFj",7,0.119202922022118,11,NA,"Vancouver Island & Mainland Inlets"
"CM50636","Grassy Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50636,"CM","Chum","13","SC","SFj",5.125,0.119202922022118,34,NA,"Vancouver Island & Mainland Inlets"
"CM50646","Gray Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50646,"CM","Chum","13","SC","SFj",4.83333333333333,0.119202922022118,36,NA,"Vancouver Island & Mainland Inlets"
"CM50656","Apple River (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50656,"CM","Chum","13","SC","SFj",4.22222222222222,0.119202922022118,45,NA,"Vancouver Island & Mainland Inlets"
"CM50666","Stafford River (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50666,"CM","Chum","13","SC","SFj",4,0.119202922022118,37,NA,"Vancouver Island & Mainland Inlets"
"CM50676","Frazer Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50676,"CM","Chum","13","SC","SFj",5,0.119202922022118,48,NA,"Vancouver Island & Mainland Inlets"
"CM50686","Heydon Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50686,"CM","Chum","13","SC","SFj",2,0.119202922022118,58,NA,"Vancouver Island & Mainland Inlets"
"CM50696","Wortley Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50696,"CM","Chum","13","SC","SFj",4.52941176470588,0.119202922022118,60,NA,"Vancouver Island & Mainland Inlets"
"CM50706","Read Creek (Campbell River Area) Chum Run 1","LOUGHBOROUGH","CM-6",50706,"CM","Chum","13","SC","SFj",4.47368421052632,0.119202922022118,58,NA,"Vancouver Island & Mainland Inlets"
"CM50716","Tuna River (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50716,"CM","Chum","12","SC","SFj",5.5,0.119202922022118,27,NA,"Vancouver Island & Mainland Inlets"
"CM50726","Shoal Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50726,"CM","Chum","12","SC","SFj",6,0.119202922022118,8,NA,"Vancouver Island & Mainland Inlets"
"CM50736","Fulmore River (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50736,"CM","Chum","12","SC","SFj",4.14285714285714,0.119202922022118,54,NA,"Vancouver Island & Mainland Inlets"
"CM50737","Fulmore River (Alert Bay) Chum Run 2","LOUGHBOROUGH","CM-6",50737,"CM","Chum","12","SC","SFj",6,0.268941421369995,1,NA,"Vancouver Island & Mainland Inlets"
"CM50746","Robbers Knob Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50746,"CM","Chum","12","SC","SFj",7,0.119202922022118,10,NA,"Vancouver Island & Mainland Inlets"
"CM50756","Boughey Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50756,"CM","Chum","12","SC","SFj",7,0.119202922022118,12,NA,"Vancouver Island & Mainland Inlets"
"CM50766","Cracroft Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50766,"CM","Chum","12","SC","SFj",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CM50776","Waldon Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50776,"CM","Chum","12","SC","SFj",7,0.119202922022118,4,NA,"Vancouver Island & Mainland Inlets"
"CM50786","Potts Lagoon Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50786,"CM","Chum","12","SC","SFj",7,0.119202922022118,8,NA,"Vancouver Island & Mainland Inlets"
"CM50796","Port Harvey Lagoon Creeks (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50796,"CM","Chum","12","SC","SFj",7,0.119202922022118,8,NA,"Vancouver Island & Mainland Inlets"
"CM50806","Call Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50806,"CM","Chum","12","SC","SFj",4.57142857142857,0.119202922022118,44,NA,"Vancouver Island & Mainland Inlets"
"CM50816","Kamano Bay Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50816,"CM","Chum","12","SC","SFj",7,0.119202922022118,7,NA,"Vancouver Island & Mainland Inlets"
"CM50826","New Vancouver Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50826,"CM","Chum","12","SC","SFj",7,0.119202922022118,4,NA,"Vancouver Island & Mainland Inlets"
"CM50836","Protection Point Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50836,"CM","Chum","12","SC","SFj",7,0.119202922022118,9,NA,"Vancouver Island & Mainland Inlets"
"CM50846","Glendale Creek (Alert Bay) Chum Run 1","LOUGHBOROUGH","CM-6",50846,"CM","Chum","12","SC","SFj",5,0.119202922022118,50,NA,"Vancouver Island & Mainland Inlets"
"CM50866","Franklin River (Alert Bay) Chum Run 1","UPPER KNIGHT","CM-9",50866,"CM","Chum","12","SC","SFj",7,0.119202922022118,21,NA,"Vancouver Island & Mainland Inlets"
"CM50876","Klinaklini River (Alert Bay) Chum Run 1","UPPER KNIGHT","CM-9",50876,"CM","Chum","12","HK","SFj",4.5,0.119202922022118,40,NA,"Vancouver Island & Mainland Inlets"
"CM50886","Sim River (Alert Bay) Chum Run 1","UPPER KNIGHT","CM-9",50886,"CM","Chum","12","SC","SFj",7,0.119202922022118,24,NA,"Vancouver Island & Mainland Inlets"
"CM50896","Ahnuhati River (Alert Bay) Chum Run 1","UPPER KNIGHT","CM-9",50896,"CM","Chum","12","SC","SFj",3.72222222222222,0.119202922022118,64,NA,"Vancouver Island & Mainland Inlets"
"CM50906","Kwalate Creek (Alert Bay) Chum Run 1","UPPER KNIGHT","CM-9",50906,"CM","Chum","12","SC","SFj",5.75,0.119202922022118,37,NA,"Vancouver Island & Mainland Inlets"
"CM50926","Matsiu Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50926,"CM","Chum","12","SC","SFj",4,0.119202922022118,11,NA,"Vancouver Island & Mainland Inlets"
"CM50936","Nigger Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50936,"CM","Chum","12","SC","SFj",7,0.119202922022118,9,NA,"Vancouver Island & Mainland Inlets"
"CM50946","Hoeya Sound Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50946,"CM","Chum","12","SC","SFj",7,0.119202922022118,18,NA,"Vancouver Island & Mainland Inlets"
"CM50956","Lull Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50956,"CM","Chum","12","SC","SFj",4.28571428571429,0.119202922022118,39,NA,"Vancouver Island & Mainland Inlets"
"CM50957","Lull Creek (Alert Bay) Chum Run 2","SOUTHERN COASTAL STREAMS","CM-8",50957,"CM","Chum","12","SC","SFj",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CM50966","Mcalister Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50966,"CM","Chum","12","SC","SFj",7,0.119202922022118,11,NA,"Vancouver Island & Mainland Inlets"
"CM50976","Kakweiken River (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50976,"CM","Chum","12","SC","SFj",4.46153846153846,0.119202922022118,60,NA,"Vancouver Island & Mainland Inlets"
"CM50977","Kakweiken River (Alert Bay) Chum Run 2","SOUTHERN COASTAL STREAMS","CM-8",50977,"CM","Chum","12","SC","SFj",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CM50986","Ahta River (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50986,"CM","Chum","12","SC","SFj",3.72727272727273,0.119202922022118,69,NA,"Vancouver Island & Mainland Inlets"
"CM50987","Ahta River (Alert Bay) Chum Run 2","SOUTHERN COASTAL STREAMS","CM-8",50987,"CM","Chum","12","SC","SFj",7,0.119202922022118,2,NA,"Vancouver Island & Mainland Inlets"
"CM50996","Ahta Valley Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",50996,"CM","Chum","12","SC","SFj",7,0.119202922022118,24,NA,"Vancouver Island & Mainland Inlets"
"CM51006","Gilford Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51006,"CM","Chum","12","SC","SFj",3,0.119202922022118,31,NA,"Vancouver Island & Mainland Inlets"
"CM51016","Maple Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51016,"CM","Chum","12","SC","SFj",6,0.119202922022118,4,NA,"Vancouver Island & Mainland Inlets"
"CM51036","Shoal Harbour Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51036,"CM","Chum","12","SC","SFj",4.05263157894737,0.119202922022118,63,NA,"Vancouver Island & Mainland Inlets"
"CM51037","Shoal Harbour Creek (Alert Bay) Chum Run 2","SOUTHERN COASTAL STREAMS","CM-8",51037,"CM","Chum","12","SC","SFj",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CM51046","Scott Cove Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51046,"CM","Chum","12","SC","SFj",4.54545454545455,0.119202922022118,41,NA,"Vancouver Island & Mainland Inlets"
"CM51056","Viner Sound Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51056,"CM","Chum","12","SC","SFj",3.77272727272727,0.119202922022118,69,NA,"Vancouver Island & Mainland Inlets"
"CM51066","Wahkana Bay Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51066,"CM","Chum","12","SC","SFj",4.57142857142857,0.119202922022118,31,NA,"Vancouver Island & Mainland Inlets"
"CM51076","Simoom Sound Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51076,"CM","Chum","12","SC","SFj",5.5,0.119202922022118,19,NA,"Vancouver Island & Mainland Inlets"
"CM51086","Allardyce Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51086,"CM","Chum","12","SC","SFj",7,0.119202922022118,5,NA,"Vancouver Island & Mainland Inlets"
"CM51096","Kingcome River (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51096,"CM","Chum","12","SC","SFj",4.35294117647059,0.119202922022118,58,NA,"Vancouver Island & Mainland Inlets"
"CM51097","Kingcome River (Alert Bay) Chum Run 2","SOUTHERN COASTAL STREAMS","CM-8",51097,"CM","Chum","12","SC","SFj",7,0.119202922022118,1,NA,"Vancouver Island & Mainland Inlets"
"CM51106","Charles Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51106,"CM","Chum","12","SC","SFj",7,0.119202922022118,9,NA,"Vancouver Island & Mainland Inlets"
"CM51116","Wakeman River (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51116,"CM","Chum","12","SC","SFj",4.05555555555556,0.119202922022118,60,NA,"Vancouver Island & Mainland Inlets"
"CM51131","Mackenzie River (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51131,"CM","Chum","12","SC","SFj",4.5,0.119202922022118,50,NA,"Vancouver Island & Mainland Inlets"
"CM51141","Nimmo Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51141,"CM","Chum","12","SC","SFj",5,0.119202922022118,40,NA,"Vancouver Island & Mainland Inlets"
"CM51151","Embley Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51151,"CM","Chum","12","SC","SFj",4.09090909090909,0.119202922022118,21,NA,"Vancouver Island & Mainland Inlets"
"CM51171","Bughouse Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51171,"CM","Chum","12","SC","SFj",7,0.119202922022118,3,NA,"Vancouver Island & Mainland Inlets"
"CM51181","Jennis Bay Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51181,"CM","Chum","12","SC","SFj",7,0.119202922022118,3,NA,"Vancouver Island & Mainland Inlets"
"CM51211","Hauskin Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51211,"CM","Chum","12","SC","SFj",7,0.119202922022118,17,NA,"Vancouver Island & Mainland Inlets"
"CM51221","Marion Creek (Alert Bay) Chum Run 1","SOUTHERN COASTAL STREAMS","CM-8",51221,"CM","Chum","12","SC","SFj",7,0.119202922022118,37,NA,"Vancouver Island & Mainland Inlets"
"CM51228","Green Inlet Creek (Kitimat-Butedale) Chum","MUSSEL-KYNOCH","CM-19",51228,"CM","Chum","6","NC","HStr",3.57142857142857,0.119202922022118,70,NA,"Central Coast"
"CM51233","Taylor Creek (Kitimat-Butedale) Chum","MUSSEL-KYNOCH","CM-19",51233,"CM","Chum","6","NC","HStr",4.5,0.119202922022118,22,NA,"Central Coast"
"CM51238","Marshall Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",51238,"CM","Chum","6","NC","HStr",4.63636363636364,0.119202922022118,54,NA,"Central Coast"
"CM51243","Khutze River (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",51243,"CM","Chum","6","NC","HStr",3.85,0.119202922022118,69,NA,"Central Coast"
"CM51248","Head Creek (Kitimat-Butedale) Chum","DOUGLAS-GARDNER","CM-20",51248,"CM","Chum","6","NC","HStr",4.7,0.119202922022118,58,NA,"Central Coast"
"CM51256","Cowie Creek Chum","GEORGIA STRAIT","CM-4",51256,"CM","Chum","14N","EVI","GStr",3.6,0.119202922022118,50,NA,"Vancouver Island & Mainland Inlets"
"CM51266","Bob Creek Chum","GEORGIA STRAIT","CM-4",51266,"CM","Chum","14N","EVI","GStr",5,0.119202922022118,15,NA,"Vancouver Island & Mainland Inlets"
"CM51276","Wilfred Creek Chum","GEORGIA STRAIT","CM-4",51276,"CM","Chum","14N","EVI","GStr",4.63636363636364,0.119202922022118,58,NA,"Vancouver Island & Mainland Inlets"
"CM51286","Waterloo Creek Chum","GEORGIA STRAIT","CM-4",51286,"CM","Chum","14N","EVI","GStr",3.6,0.119202922022118,50,NA,"Vancouver Island & Mainland Inlets"
"CM51296","Rosewall Creek Chum","GEORGIA STRAIT","CM-4",51296,"CM","Chum","14N","EVI","GStr",4.4,0.119202922022118,58,NA,"Vancouver Island & Mainland Inlets"
"CM51306","Mcnaughton Creek Chum","GEORGIA STRAIT","CM-4",51306,"CM","Chum","14N","EVI","GStr",5.33333333333333,0.119202922022118,50,NA,"Vancouver Island & Mainland Inlets"
"CM51316","Cook Creek Chum","GEORGIA STRAIT","CM-4",51316,"CM","Chum","14N","EVI","GStr",5,0.119202922022118,56,NA,"Vancouver Island & Mainland Inlets"
"CM51326","Chef Creek Chum","GEORGIA STRAIT","CM-4",51326,"CM","Chum","14N","EVI","GStr",5.25,0.119202922022118,36,NA,"Vancouver Island & Mainland Inlets"
"CM51336","Sandy Creek Chum","GEORGIA STRAIT","CM-4",51336,"CM","Chum","14N","EVI","GStr",6,0.119202922022118,5,NA,"Vancouver Island & Mainland Inlets"
"CM51346","Thames Creek Chum","GEORGIA STRAIT","CM-4",51346,"CM","Chum","14S","EVI","GStr",5,0.5,1,NA,"Vancouver Island & Mainland Inlets"
"CM51356","Nile Creek Chum","GEORGIA STRAIT","CM-4",51356,"CM","Chum","14S","EVI","GStr",4,0.119202922022118,50,NA,"Vancouver Island & Mainland Inlets"
"CM51366","Qualicum River Chum","GEORGIA STRAIT","CM-4",51366,"CM","Chum","14S","EVI","GStr",2.5,0.119202922022118,69,NA,"Vancouver Island & Mainland Inlets"
"CM51376","Annie Creek Chum","GEORGIA STRAIT","CM-4",51376,"CM","Chum","14S","EVI","GStr",6,0.268941421369995,2,NA,"Vancouver Island & Mainland Inlets"
"CM51386","Little Qualicum River Chum","GEORGIA STRAIT","CM-4",51386,"CM","Chum","14S","EVI","GStr",4.42857142857143,0.119202922022118,68,NA,"Vancouver Island & Mainland Inlets"
"CM51406","French Creek Chum","GEORGIA STRAIT","CM-4",51406,"CM","Chum","14S","EVI","GStr",5.33333333333333,0.119202922022118,38,NA,"Vancouver Island & Mainland Inlets"
"CM51416","Englishman River Chum","GEORGIA STRAIT","CM-4",51416,"CM","Chum","14S","EVI","GStr",3.78947368421053,0.119202922022118,66,NA,"Vancouver Island & Mainland Inlets"
"CM51436","Nanoose Creek Chum","GEORGIA STRAIT","CM-4",51436,"CM","Chum","17","EVI","GStr",4,0.119202922022118,55,NA,"Vancouver Island & Mainland Inlets"
"CM51446","Bonell Creek Chum","GEORGIA STRAIT","CM-4",51446,"CM","Chum","17","EVI","GStr",4.28571428571429,0.119202922022118,52,NA,"Vancouver Island & Mainland Inlets"
"CM51456","Knarston Creek Chum","GEORGIA STRAIT","CM-4",51456,"CM","Chum","17","EVI","GStr",7,0.119202922022118,8,NA,"Vancouver Island & Mainland Inlets"
"CM51466","Bloods Creek (Nanaimo) Chum Run 1","GEORGIA STRAIT","CM-4",51466,"CM","Chum","17","EVI","GStr",7,0.119202922022118,3,NA,"Vancouver Island & Mainland Inlets"
"CM51476","Departure Creek Chum","GEORGIA STRAIT","CM-4",51476,"CM","Chum","17","EVI","GStr",4,0.119202922022118,11,NA,"Vancouver Island & Mainland Inlets"
"CM51486","Millstone River Chum","GEORGIA STRAIT","CM-4",51486,"CM","Chum","17","EVI","GStr",5.25,0.119202922022118,15,NA,"Vancouver Island & Mainland Inlets"
"CM51496","Chase River Chum","GEORGIA STRAIT","CM-4",51496,"CM","Chum","17","EVI","GStr",3.625,0.119202922022118,29,NA,"Vancouver Island & Mainland Inlets"
"CM51506","Beck Creek Chum","GEORGIA STRAIT","CM-4",51506,"CM","Chum","17","EVI","GStr",2.75,0.119202922022118,11,NA,"Vancouver Island & Mainland Inlets"
"CM51516","Nanaimo River Chum","GEORGIA STRAIT","CM-4",51516,"CM","Chum","17","EVI","GStr",3.45454545454545,0.119202922022118,69,NA,"Vancouver Island & Mainland Inlets"
