"MAP_LABEL","GFE_ID","SYSTEM_SITE","GFE_TYPE","SPECIES_QUALIFIED","Y_LAT","X_LONGT","FAZ_ACRO","MAZ_ACRO","JAZ_ACRO","CU_NAME","CU_ACRO","CU_LAT","CU_LONGT","CU_TYPE","CU_INDEX","FULL_CU_IN","SBJ_ID","POP_ID","IS_INDICATOR","CMNTS","EFFECTIVE_DT","WATERSHED_CDE","FWA_WATERSHED_CDE"
89,1355,"JACKLAH RIVER","Stream","CM","49.650970284","-126.155704188","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41316,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-502700-00000-00000-0000-0000-000-000-000-000-000-000","930-499033-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
90,1421,"JANSEN LAKE CREEK","Stream","CM","50.118204504","-127.294389113","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39616,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-692100-00000-00000-0000-0000-000-000-000-000-000-000","930-692270-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
91,1228,"JORDAN RIVER","Stream","CM","48.422606222","-124.054665342","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40221,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-037300-00000-00000-0000-0000-000-000-000-000-000-000","930-038943-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
92,1412,"KAOUK RIVER","Stream","CM","50.063621392","-127.098644033","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41861,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-665700-00000-00000-0000-0000-000-000-000-000-000-000","930-665189-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
93,1407,"KAPOOSE CREEK","Stream","CM","49.947952101","-127.220205507","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41811,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-639800-00000-00000-0000-0000-000-000-000-000-000-000","930-637476-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
94,1418,"KASHUTL RIVER","Stream","CM","50.195067746","-127.309556352","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40876,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-687400-00000-00000-0000-0000-000-000-000-000-000-000","930-687605-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
95,1417,"KAUWINCH RIVER","Stream","CM","50.144948825","-127.26915984","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40866,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-683800-00000-00000-0000-0000-000-000-000-000-000-000","930-683984-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
96,1379,"KENDRICK CREEK","Stream","CM","49.727386886","-126.650121218","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41536,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"935-483000-84200-00000-0000-0000-000-000-000-000-000-000","935-371895-841754-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
97,2007,"KITSUCKSUS CREEK","Stream","CM","49.2590057666","-124.814649865","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,3312,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - added from 23Jul13 NUSEDS snapshot",2013-09-26,"930-137400-17300-00000-0000-0000-000-000-000-000-000-000","930-139262-150763-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
98,1248,"KLANAWA RIVER","Stream","CM","48.69967858","-124.948196808","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40416,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-075500-00000-00000-0000-0000-000-000-000-000-000-000","930-077174-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
99,1364,"KLEEPTEE CREEK","Stream","CM","49.662848314","-126.368034592","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41391,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-521000-00000-00000-0000-0000-000-000-000-000-000-000","930-518027-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
100,1302,"KOOTOWIS CREEK","Stream","CM","49.090778143","-125.724996774","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,52076,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-300800-00000-00000-0000-0000-000-000-000-000-000-000","930-296348-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
101,1384,"LAURIE CREEK","Stream","CM","49.775576217","-126.82854188","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41581,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"935-483000-31400-00000-0000-0000-000-000-000-000-000-000","935-371895-277380-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
102,1375,"LEINER RIVER","Stream","CM","49.912189418","-126.643296647","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41496,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-567600-00000-00000-0000-0000-000-000-000-000-000-000","930-564944-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
103,1237,"LENS CREEK","Stream","CM","48.586929203","-124.257060362","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40311,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-053800-25200-00000-0000-0000-000-000-000-000-000-000","930-055749-238722-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
104,1291,"LITTLE MAGGIE RIVER","Stream","CM","48.978708382","-125.394616429","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39556,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-234200-00000-00000-0000-0000-000-000-000-000-000-000","930-227481-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
105,1289,"LITTLE TOQUART CREEK","Stream","CM","49.041141139","-125.36139442","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39536,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-230500-03800-00000-0000-0000-000-000-000-000-000-000","930-223732-027604-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
106,1332,"LITTLE WHITEPINE COVE #1 CREEK","Stream","CM","49.294138924","-125.981620258","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41091,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-382000-00000-00000-0000-0000-000-000-000-000-000-000","930-378997-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
107,1394,"LITTLE ZEBALLOS RIVER","Stream","CM","49.956106089","-126.817083124","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41681,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-579900-00000-00000-0000-0000-000-000-000-000-000-000","930-577097-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
108,1391,"LORD CREEK","Stream","CM","49.87370402","-126.711292638","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41651,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-574100-00000-00000-0000-0000-000-000-000-000-000-000","930-571383-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
109,1299,"LOST SHOE CREEK","Stream","CM","49.003085266","-125.638928975","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40826,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-260600-00000-00000-0000-0000-000-000-000-000-000-000","930-253054-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
110,1306,"LOWER KENNEDY RIVER","Stream Segment","CM","49.136833311","-125.668149102","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,52116,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-306400-00000-00000-0000-0000-000-000-000-000-000-000","930-302211-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
111,1287,"LUCKY CREEK","Stream","CM","49.026995925","-125.305170895","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40786,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-227800-00000-00000-0000-0000-000-000-000-000-000-000","930-221312-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
112,1269,"MACKTUSH CREEK","Stream","CM","49.111340266","-124.827974893","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40606,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-147000-00000-00000-0000-0000-000-000-000-000-000-000","930-148806-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
113,1290,"MAGGIE RIVER","Stream","CM","48.985692333","-125.393789053","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39546,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-233800-00000-00000-0000-0000-000-000-000-000-000-000","930-227126-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
114,1426,"MALKSOPE RIVER","Stream","CM","50.138684909","-127.422033038","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39666,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-722200-00000-00000-0000-0000-000-000-000-000-000-000","930-721847-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
115,1399,"MAMAT CREEK","Stream","CM","49.961001359","-126.910531744","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41731,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-599200-00000-00000-0000-0000-000-000-000-000-000-000","930-596397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
116,1380,"MARVINAS BAY CREEK","Stream","CM","49.655920769","-126.627559336","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41546,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"935-483000-89500-00000-0000-0000-000-000-000-000-000-000","935-371895-898401-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
117,1363,"MCCURDY CREEK","Stream","CM","49.673202423","-126.188237412","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41381,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-514500-00000-00000-0000-0000-000-000-000-000-000-000","930-511663-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
118,1424,"MCKAY COVE CREEK","Stream","CM","50.045797917","-127.349442129","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39646,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-708600-00000-00000-0000-0000-000-000-000-000-000-000","930-708402-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
119,1320,"MEARES CREEK","Stream","CM","49.149470024","-125.858489536","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,52246,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"935-302000-07800-00000-0000-0000-000-000-000-000-000-000","935-334340-077874-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
120,1341,"MEGIN RIVER","Stream","CM","49.43733128","-126.085104971","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41176,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-413500-00000-00000-0000-0000-000-000-000-000-000-000","930-410014-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
121,1296,"MERCANTILE CREEK","Stream","CM","48.962905159","-125.557923567","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39606,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-243300-00000-00000-0000-0000-000-000-000-000-000-000","930-236502-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
122,2298,"MIDDLE ELIZA CREEK","Stream","CM","49.945906467","-127.050762591","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,44780,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"",""
123,1352,"MOOYAH RIVER","Stream","CM","49.627840371","-126.449494177","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41286,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-491500-00000-00000-0000-0000-000-000-000-000-000-000","930-488088-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
124,1335,"MOYEHA RIVER","Stream","CM","49.417735852","-125.912658652","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41121,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-391800-00000-00000-0000-0000-000-000-000-000-000-000","930-388774-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
125,1361,"MUCHALAT RIVER","Stream","CM","49.84395535","-126.096648792","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41363,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-511600-42100-00000-0000-0000-000-000-000-000-000-000","930-508366-413291-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
126,1308,"MURIEL LAKE","Lake","CM","49.124045679","-125.614759004","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,52136,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-306400-02600-00000-0000-0000-000-000-000-000-000-000","930-302211-024981-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
127,1270,"NAHMINT RIVER","Stream","CM","49.061963504","-124.882604884","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40616,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-150800-00000-00000-0000-0000-000-000-000-000-000-000","930-152772-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
128,1409,"NARROWGUT CREEK","Stream","CM","49.997806228","-127.120922293","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41831,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-648400-00000-00000-0000-0000-000-000-000-000-000-000","930-646221-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
129,1430,"NASPARTI RIVER","Stream","CM","50.191601229","-127.608120774","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39706,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-747000-00000-00000-0000-0000-000-000-000-000-000-000","930-746507-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
130,1242,"NITINAT RIVER","Stream","CM","48.670197768","-124.85109141","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40361,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-071700-00000-00000-0000-0000-000-000-000-000-000-000","930-073434-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
131,1427,"OUOUKINSH RIVER","Stream","CM","50.187390826","-127.432951098","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39676,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-730300-00000-00000-0000-0000-000-000-000-000-000-000","930-729741-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
132,1388,"OWOSSITSA CREEK","Stream","CM","49.828356131","-126.917713062","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41621,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"935-483000-57000-00000-0000-0000-000-000-000-000-000-000","935-371895-559404-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
133,1249,"PACHENA RIVER","Stream","CM","48.798032397","-125.126703323","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40426,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-085500-00000-00000-0000-0000-000-000-000-000-000-000","930-087113-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
134,2637,"PACILTH CREEK","Stream","CM","49.451845981","-126.461566478","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,3261,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - added from 23Jul13 NUSEDS snapshot",2013-09-26,"930-464100-00000-00000-0000-0000-000-000-000-000-000-000","930-460859-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
135,1402,"PARK RIVER","Stream","CM","49.886128614","-126.989060385","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41761,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-615900-00000-00000-0000-0000-000-000-000-000-000-000","930-613579-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
136,1376,"PERRY RIVER","Stream","CM","49.916689958","-126.620662017","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41506,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-567600-14900-00000-0000-0000-000-000-000-000-000-000","930-564944-126448-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
137,1286,"PIPESTEAM CREEK","Stream","CM","49.037361188","-125.199846849","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40776,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-224000-00000-00000-0000-0000-000-000-000-000-000-000","930-217626-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
138,2294,"PLUMPER BAY CREEK","Stream","CM","49.695601644","-126.637424551","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,45131,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"935-483000-86000-00000-0000-0000-000-000-000-000-000-000","935-371895-860968-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
139,1251,"POETT NOOK CREEK","Stream","CM","48.874582506","-125.053801611","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40446,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-108700-00000-00000-0000-0000-000-000-000-000-000-000","930-110667-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
140,1406,"PORRITT CREEK","Stream","CM","49.924785126","-127.20172577","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41801,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-637700-00000-00000-0000-0000-000-000-000-000-000-000","930-635582-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
141,1428,"POWER RIVER","Stream","CM","50.180996047","-127.480464596","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,39686,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-732300-00000-00000-0000-0000-000-000-000-000-000-000","930-731806-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
142,1350,"PURDON CREEK","Stream","CM","49.3989289","-126.468426241","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41266,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-467600-00000-00000-0000-0000-000-000-000-000-000-000","930-464359-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
143,1234,"RENFREW CREEK","Stream","CM","48.584317917","-124.344862345","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,40281,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"930-053800-12100-05400-0000-0000-000-000-000-000-000-000","930-055749-116228-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
144,1339,"RILEY CREEK","Stream","CM","49.388349843","-126.21994491","WVI","WVI","WVI+WVI","SOUTHWEST VANCOUVER ISLAND","SWVI","49.4286588402039","-126.024917535251","Current","10","CM-10",4,41156,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"935-374000-46200-00000-0000-0000-000-000-000-000-000-000","935-344662-471279-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
